p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.68215865226954e-29,0.516946984503973,0.588,0.541,1.13643173045391e-25,Type3,Edil3
3.35113965918045e-28,0.490762159636998,0.815,0.735,6.70227931836089e-25,Type3,Brinp1
2.51787821274384e-27,0.536558738197573,0.744,0.73,5.03575642548767e-24,Type3,Palmd
4.91230439396099e-27,0.366081854345378,0.696,0.621,9.82460878792197e-24,Type3,Ppfia4
5.17361537514397e-27,0.431602895686189,0.754,0.669,1.03472307502879e-23,Type3,Camk2n1
5.76947570454846e-27,0.379202403066153,0.465,0.38,1.15389514090969e-23,Type3,Fhl1
1.16969190928374e-26,0.328438175579554,0.574,0.443,2.33938381856747e-23,Type3,Camkk1
1.18549948581469e-26,0.375412629250528,0.86,0.86,2.37099897162937e-23,Type3,Stmn2
1.52170731567465e-26,0.548127024545052,0.71,0.693,3.0434146313493e-23,Type3,Osbpl1a
1.65845902716927e-26,0.396875447973545,0.877,0.805,3.31691805433855e-23,Type3,Mast3
3.03020847148213e-26,0.597409556704405,0.614,0.626,6.06041694296425e-23,Type3,Tspan17
4.31447615974605e-26,0.409938494751291,0.617,0.576,8.6289523194921e-23,Type3,Rab15
4.69828852854647e-26,0.36396068320245,0.981,0.969,9.39657705709294e-23,Type3,Akap13
7.76464498807524e-26,0.330716412322444,0.535,0.482,1.55292899761505e-22,Type3,Cbfa2t3
8.16681995318341e-26,0.418286323103563,0.542,0.444,1.63336399063668e-22,Type3,Scn3b
1.08662200320328e-25,0.264907371220767,0.511,0.493,2.17324400640657e-22,Type3,Mndal
2.41206802579215e-25,0.425447339904166,0.748,0.676,4.8241360515843e-22,Type3,Klhl2
1.32800436032375e-24,0.378206411690284,0.784,0.68,2.6560087206475e-21,Type3,Golm1
2.1142608444685e-24,0.468407116471738,0.716,0.7,4.228521688937e-21,Type3,Gas2l1
6.29812164241928e-24,0.4564488859654,0.752,0.706,1.25962432848386e-20,Type3,Mgll
6.43755175168597e-24,0.40945622301753,0.797,0.774,1.28751035033719e-20,Type3,Osbpl6
1.05959664378693e-23,0.561015952681634,0.675,0.631,2.11919328757386e-20,Type3,Sh3gl2
1.40215305025386e-23,0.364718993490003,0.753,0.645,2.80430610050772e-20,Type3,Cers4
3.74476897017409e-23,0.353953976099478,0.828,0.746,7.48953794034818e-20,Type3,Epha6
6.40164262575167e-23,0.571188894554863,0.581,0.578,1.28032852515033e-19,Type3,Gm45716
6.8428293841779e-23,0.517192694040948,0.729,0.729,1.36856587683558e-19,Type3,Tenm4
1.06329037145602e-22,0.404975541323262,0.668,0.669,2.12658074291204e-19,Type3,Sgsm1
2.37496763611125e-22,0.260396666769329,0.951,0.928,4.74993527222249e-19,Type3,Kcna1
2.75988776346754e-22,0.461664692786614,0.536,0.484,5.51977552693508e-19,Type3,Hap1
3.84799875494037e-22,0.324438257775187,0.562,0.538,7.69599750988075e-19,Type3,Tead1
5.75228055024503e-22,0.258223077401871,0.681,0.604,1.15045611004901e-18,Type3,Tnr
7.25787850343674e-22,0.517703983164804,0.731,0.74,1.45157570068735e-18,Type3,Slc6a7
1.00149680050764e-21,0.314539183972096,0.824,0.761,2.00299360101527e-18,Type3,Smpd4
2.55288009070931e-21,0.539000050411606,0.669,0.702,5.10576018141863e-18,Type3,Zdhhc14
9.99810720310452e-21,0.329001298228942,0.586,0.507,1.9996214406209e-17,Type3,Cxadr
1.44404592351566e-20,0.343932176170623,0.754,0.717,2.88809184703133e-17,Type3,Ptpre
1.69701470707891e-20,0.354248408778306,0.665,0.568,3.39402941415783e-17,Type3,Kit
3.98550582684731e-20,0.280986082553129,0.712,0.633,7.97101165369461e-17,Type3,Rasa2
2.11693032317668e-19,0.2881466999249,0.63,0.543,4.23386064635337e-16,Type3,Klf7
2.47951996237689e-19,0.317149014022533,0.805,0.738,4.95903992475378e-16,Type3,Klhl3
5.42276450245146e-19,0.323305519418028,0.796,0.758,1.08455290049029e-15,Type3,Tln2
6.53645138780043e-19,0.393915281398917,0.691,0.655,1.30729027756009e-15,Type3,Grik2
9.23292449438385e-19,0.586172313681975,0.56,0.557,1.84658489887677e-15,Type3,Bok
9.32391861570375e-19,0.470608904058395,0.739,0.749,1.86478372314075e-15,Type3,Homer3
1.35941269861131e-18,0.342059175431166,0.58,0.529,2.71882539722261e-15,Type3,Gpr68
2.3459745660455e-18,0.404787261728198,0.789,0.782,4.691949132091e-15,Type3,Agrn
2.53087103017557e-18,0.459991238056143,0.59,0.627,5.06174206035114e-15,Type3,Cacng2
6.09411463589805e-18,0.278650024958241,0.924,0.883,1.21882292717961e-14,Type3,Dlg2
1.61591428414974e-17,0.548123339290775,0.598,0.618,3.23182856829948e-14,Type3,Hes1
2.79093403620086e-17,0.269707498776404,0.752,0.673,5.58186807240172e-14,Type3,Tmem178b
4.29141762296574e-17,0.587223641462722,0.606,0.647,8.58283524593148e-14,Type3,Gprin3
5.77443690482748e-17,0.503720493837429,0.683,0.716,1.1548873809655e-13,Type3,Dgkb
6.08376194664944e-17,0.263993553877291,0.735,0.648,1.21675238932989e-13,Type3,Nsd2
1.4419029216927e-16,0.268398387300775,0.821,0.741,2.8838058433854e-13,Type3,Raph1
3.04925714779185e-16,0.258234752540906,0.926,0.855,6.09851429558371e-13,Type3,Khdrbs3
2.7740588490012e-15,0.267281945729048,0.771,0.722,5.5481176980024e-12,Type3,Daam1
2.81658770888587e-15,0.424542218924524,0.76,0.759,5.63317541777175e-12,Type3,Grip1
2.91329298934433e-15,0.418864056966645,0.745,0.787,5.82658597868866e-12,Type3,5031439G07Rik
1.28527161528128e-14,0.374915941181578,0.795,0.845,2.57054323056257e-11,Type3,Cadm3
1.01828943690948e-13,0.274844595257737,0.808,0.807,2.03657887381896e-10,Type3,Mcf2l
2.13882537519401e-13,0.278936046926843,0.862,0.874,4.27765075038802e-10,Type3,Kcnc1
6.35305677541704e-13,0.300741777723912,0.534,0.522,1.27061135508341e-09,Type3,Mmd
9.60017770157122e-13,0.318959809347639,0.766,0.759,1.92003554031424e-09,Type3,Ogfrl1
1.59278326910264e-12,0.327437099811171,0.519,0.566,3.18556653820529e-09,Type3,Ifi203
1.72022555193601e-12,0.293614280941548,0.476,0.467,3.44045110387201e-09,Type3,Cntnap5c
2.56580628732581e-12,0.325106214065614,0.76,0.769,5.13161257465162e-09,Type3,Shisa6
2.92876943829463e-12,0.278648411497699,0.555,0.623,5.85753887658926e-09,Type3,Sorcs3
3.24667034490245e-12,0.305394644905531,0.707,0.654,6.49334068980489e-09,Type3,Iqcj
5.86847030060802e-12,0.259036228847773,0.747,0.732,1.1736940601216e-08,Type3,Cdh10
1.47166049471999e-11,0.525352738446791,0.613,0.675,2.94332098943997e-08,Type3,Adamts9
2.16608172268618e-11,0.255129016365457,0.505,0.507,4.33216344537237e-08,Type3,Myrf
3.80446767503765e-11,0.464431236210066,0.614,0.654,7.60893535007529e-08,Type3,Clmp
5.1754771301355e-11,0.284765289650037,0.646,0.628,1.0350954260271e-07,Type3,Dennd1b
5.40163622605902e-11,0.276465359926904,0.603,0.565,1.0803272452118e-07,Type3,Dnajc10
1.13219227564305e-10,0.298429827292914,0.738,0.743,2.26438455128609e-07,Type3,Kcnq5
1.20029997406061e-10,0.454458755704357,0.714,0.718,2.40059994812122e-07,Type3,Lmo4
3.61763778427459e-10,0.429551181595997,0.683,0.761,7.23527556854919e-07,Type3,Chst2
6.38634659543081e-10,0.370946503621829,0.533,0.63,1.27726931908616e-06,Type3,Nkd2
