"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Frmd4a",1.7710829841979e-09,0.290967234447274,0.838,0.765,3.24657221833317e-05
"Stau2",1.94328672007582e-09,0.352360265333409,0.63,0.487,3.56223888657098e-05
"Fndc9",2.19366443532514e-09,0.390646253818419,0.584,0.415,4.02120627639451e-05
"Hivep2",2.69499832105784e-09,-0.433546689283986,0.754,0.751,4.94020142233112e-05
"Pced1b",3.54876695751295e-09,0.832967771914877,0.359,0.247,6.505244709817e-05
"Uqcrc2",3.91725560027023e-09,0.536101141221172,0.398,0.272,7.18072124085536e-05
"Dcc",4.41302991033661e-09,-0.41388732456534,0.767,0.806,8.08952512863804e-05
"Prune2",4.42046225484303e-09,0.930377000228345,0.255,0.149,8.10314935935276e-05
"Adgrb3",5.21368316544518e-09,-0.36188690525685,0.825,0.861,9.55720261057756e-05
"Me1",5.73647723360003e-09,0.772150753481439,0.341,0.232,0.000105155364169122
"Rb1",7.78128580630439e-09,0.363012868424379,0.499,0.386,0.000142638750115366
"Ppfia2",7.90798283694233e-09,-0.322088391028997,0.855,0.861,0.00014496123338399
"Brinp2",9.00160000850463e-09,0.541370071974945,0.561,0.438,0.000165008329755898
"Slc24a5",9.45561602117862e-09,0.426504878275571,0.603,0.46,0.000173330897284225
"Mrtfb",1.13680171417952e-08,0.353957486236053,0.712,0.558,0.000208387122226248
"Son",1.16342483511153e-08,0.346030543580788,0.767,0.627,0.000213267406524294
"Exoc6",1.8133754794706e-08,0.587726546575603,0.4,0.285,0.000332409859141755
"Rae1",1.96298693442269e-08,0.53093801864209,0.329,0.218,0.000359835134949024
"Ttc8",2.11130713279018e-08,-1.16416393378447,0.229,0.345,0.000387023710511767
"Focad",2.22014281526715e-08,0.386548053789134,0.667,0.523,0.000406974379466622
"Gpr18",2.71406026258035e-08,0.772278028124606,0.321,0.22,0.000497514386733604
"Ndst1",2.75197263916206e-08,0.651637662295732,0.381,0.275,0.000504464104484798
"Aven",3.01820637803124e-08,0.528202206852335,0.286,0.184,0.000553267411156906
"Luc7l2",3.25756645892701e-08,0.23992126865499,0.819,0.711,0.000597144507585911
"Thsd4",3.38908964778879e-08,-1.04860903084883,0.285,0.378,0.000621254023336163
"Unc80",3.39161268658315e-08,0.267237722765345,0.746,0.637,0.000621716521577557
"Lingo2",3.54631806619871e-08,-0.528754597119143,0.598,0.695,0.000650075564714886
"Dtd1",3.55540989992519e-08,0.316060200605752,0.449,0.323,0.000651742188755286
"Sntg2",3.74745021480936e-08,0.879259774489653,0.267,0.17,0.000686945098876704
"Ppm1l",3.8116476885168e-08,0.414517349004044,0.584,0.457,0.000698713137782015
"Atp9a",3.91343404384524e-08,0.405651564279335,0.533,0.397,0.00071737159457727
"Aff3",5.1306074610452e-08,0.371132086144502,0.645,0.504,0.000940491653684196
"Rnft1",5.52009687785948e-08,0.875795233421395,0.311,0.21,0.00101188895868042
"Galnt2l",6.0069387007327e-08,0.275331806649993,0.824,0.754,0.00110113193323131
"Mast4",6.65652032991721e-08,0.333521760554453,0.701,0.553,0.00122020674167712
"Ncapd3",7.44846263859605e-08,0.544240233857429,0.368,0.262,0.00136537768628104
"Gon4l",7.51442990705035e-08,0.435167937170666,0.446,0.334,0.0013774701462614
"Dapk1",7.52760832243972e-08,0.316585101665091,0.686,0.557,0.00137988588158643
"Rora",8.52051054692114e-08,0.379687526816118,0.741,0.61,0.00156189478835611
"Rnf115",9.14553335910142e-08,0.462624079431884,0.442,0.323,0.00167646772005688
