"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmed9",1.98670736815363e-113,-0.639307184692687,0.48,0.776,2.93158539244749e-109
"Prkca",5.46610724242786e-113,0.515752711819163,0.965,0.928,8.06578784692655e-109
"Efhd2",7.99784360883227e-113,0.790062896387432,0.27,0.061,1.18016180291929e-108
"Kif5c",1.12914349100804e-112,0.714855923565294,0.827,0.748,1.66616413533146e-108
"Cnrip1",1.63285638421205e-112,-0.625362420404862,0.566,0.823,2.4094428805433e-108
"Sat1",1.49435241536444e-111,1.05083877349985,0.431,0.202,2.20506642411177e-107
"Dgkg",2.05651956327022e-111,-0.556267736412526,0.718,0.895,3.03460026756154e-107
"Alcam",8.36557904739211e-110,0.819541591377935,0.295,0.08,1.23442484423318e-105
"Plxnc1",2.12749695232882e-109,0.875333660715503,0.387,0.16,3.13933450285641e-105
"Tiam2",1.60219119333345e-108,0.872668397793128,0.463,0.228,2.36419332488284e-104
"Pebp1",1.74239056342389e-108,-0.612606604048663,0.563,0.835,2.57107151538829e-104
"Kcnk9",2.67220606870132e-108,-0.66730338755433,0.134,0.396,3.94310727497567e-104
"Hpca",5.78977114504444e-108,-0.530228730281012,0.745,0.919,8.54338630162757e-104
"Crybb3",6.62219322406619e-108,-0.680073299617862,0.077,0.31,9.77170832143207e-104
"Cpt1c",8.45495290801855e-108,-0.615669096477122,0.487,0.757,1.24761285110722e-103
"Lipe",1.51973168458665e-107,-0.624511531257326,0.106,0.359,2.24251607377606e-103
"Kcnma1",9.24551822280805e-106,0.572653111120968,0.901,0.866,1.36426866895756e-101
"Stmn2",2.93680732115342e-105,-0.673412103163413,0.329,0.629,4.33355288309399e-101
"Kcnj4",3.25021687837425e-105,0.842815857407713,0.316,0.102,4.79602002572905e-101
"Ywhah",4.19134147242534e-105,-0.656302851538707,0.392,0.682,6.18474347671083e-101
"Atpif1",8.77453720386426e-105,-0.645430952783132,0.404,0.704,1.29477070980221e-100
"Ryr2",8.96315355117006e-105,0.51950085516864,0.919,0.883,1.32260293801065e-100
"Xkr6",9.52736430659294e-105,-0.680072047635981,0.177,0.449,1.40585787708085e-100
"Cnksr2",6.23646346765922e-104,0.689210202813425,0.776,0.69,9.20252549287794e-100
"Nr3c2",1.06253885261965e-103,0.736258363633466,0.692,0.557,1.56788233092555e-99
"Caskin1",7.30956195626065e-103,-0.638767793844416,0.319,0.621,1.07859896226582e-98
"Zranb2",1.20801058253207e-102,-0.320102309067146,0.985,0.983,1.78254041558432e-98
"Htr1f",1.39400706336382e-102,-0.599916461483587,0.086,0.318,2.05699682269965e-98
"Luzp2",1.71961079434997e-102,-0.651262822481575,0.188,0.464,2.53745768814282e-98
"Inhba",1.73987689438098e-102,0.797991665559125,0.258,0.063,2.56736234534857e-98
"Nrxn2",1.04111366094572e-101,-0.592306339119797,0.587,0.827,1.53626731809151e-97
"Hnrnph1",1.33192789672308e-100,0.702137469536669,0.708,0.586,1.96539280440457e-96
"Dock11",4.33441961310846e-100,0.85146194697614,0.471,0.258,6.39586958110284e-96
"Selenow",5.51472753411659e-100,-0.62943944782833,0.366,0.673,8.13753194934243e-96
"Kif1b",2.34074360717457e-99,0.581570430109277,0.888,0.848,3.45400126674679e-95
"Stxbp5l",1.30419087953902e-98,-0.419730193563853,0.921,0.961,1.92446406184777e-94
"Cacna1a",2.92136381134939e-98,-0.403284980452863,0.927,0.963,4.31076444002716e-94
"Mrps5",4.14764235528403e-98,-0.565686562869409,0.528,0.796,6.12026105945711e-94
"Ppib",8.04614771199714e-98,-0.569846753346667,0.586,0.82,1.1872895563823e-93
"Ackr1",1.30358836426604e-97,-0.549249893103834,0.072,0.288,1.92357499031097e-93
"Unc13b",2.4604684368565e-97,-0.586115557663347,0.428,0.711,3.63066722542545e-93
"Tgfb2",5.5837483165746e-97,-0.601644766976669,0.067,0.277,8.23937901593748e-93
"Sorl1",9.07516608300227e-97,0.681550609928027,0.741,0.633,1.33913150720782e-92
"Cadm3",1.82022655104964e-96,-0.618908205672835,0.232,0.508,2.68592629872885e-92
"Ndufa10",2.4497201456454e-96,-0.576028144992765,0.37,0.662,3.61480704691435e-92
"Dmxl1",4.479302738162e-96,0.645820334933623,0.793,0.718,6.60965912043185e-92
"Cdc37l1",7.71873125347992e-96,0.49022281594597,0.914,0.884,1.1389759837635e-91
"Epha7",4.73488974326888e-95,0.687192327686072,0.728,0.615,6.98680330516756e-91
"Lsamp",1.39759835157088e-94,-0.448927333674906,0.823,0.946,2.06229612757799e-90
"Thoc1",7.56264386284887e-94,-0.530441414777689,0.593,0.828,1.11594372840198e-89
"Net1",1.13165655667463e-93,0.808528195630333,0.298,0.098,1.66987241502909e-89
"Bcl9",1.1798463133573e-93,-0.595465523703743,0.289,0.576,1.74098121999003e-89
